公司代码 	公司简称 	A股代码	A股简称	A股上市日期	A股总股本	A股流通股本	
600082	  海泰发展	  600082	  海泰发展	  1997-06-20	  64611.58	  63254.18	  
600158	  中体产业	  600158	  中体产业	  1998-03-27	  84373.54	  65749.54	  
600225	  *ST松江	  600225	  *ST松江	  2000-01-27	  93549.26	  85045.16	  
600322	  天房发展	  600322	  天房发展	  2001-09-10	  110570.00	  110570.00	  
600329	  中新药业	  600329	  中新药业	  2001-06-06	  76887.31	  76576.81	  
600335	  国机汽车	  600335	  国机汽车	  2001-03-05	  102973.68	  102973.68	  
600468	  百利电气	  600468	  百利电气	  2001-06-15	  81111.35	  79843.10	  
600488	  天药股份	  600488	  天药股份	  2001-06-18	  109188.67	  96085.50	  
600535	  天士力	  600535	  天士力	  2002-08-23	  108047.59	  103284.27	  
600583	  海油工程	  600583	  海油工程	  2002-02-05	  442135.48	  442135.48	  
600645	  中源协和	  600645	  中源协和	  1993-05-04	  38608.13	  35446.14	  
600717	  天津港	  600717	  天津港	  1996-06-14	  167476.91	  167476.91	  
600751	  天海投资	  600751	  天海投资	  1996-09-09	  289933.78	  229733.11	  
600787	  中储股份	  600787	  中储股份	  1997-01-21	  219980.10	  185982.84	  
600800	  天津磁卡	  600800	  天津磁卡	  1993-12-06	  61127.10	  61095.60	  
600821	  津劝业	  600821	  津劝业	  1994-01-28	  41626.82	  41626.82	  
600874	  创业环保	  600874	  创业环保	  1995-06-30	  142722.84	  142722.84	  
601808	  中海油服	  601808	  中海油服	  2007-09-28	  477159.20	  477159.20	  
601919	  中远海控	  601919	  中远海控	  2007-06-26	  1021627.44	  1021627.44	  
603019	  中科曙光	  603019	  中科曙光	  2014-11-06	  64302.40	  40175.48	  
603096	  新经典	  603096	  新经典	  2017-04-25	  13466.00	  3336.00	  
603106	  恒银金融	  603106	  恒银金融	  2017-09-20	  28000.00	  7000.00	  
603126	  中材节能	  603126	  中材节能	  2014-07-31	  61050.00	  61050.00	  
603727	  博迈科	  603727	  博迈科	  2016-11-22	  23414.50	  5870.00	  
603969	  银龙股份	  603969	  银龙股份	  2015-02-27	  40000.00	  15263.05	  
